,Firstname1,Lastname1,Sex1,"01/01/2024",,,"AT cannot be null or empty"
" ",Firstname1,Lastname1,Sex1,"01/01/2024",,,"AT cannot be null or empty"
AT111111,,Lastname1,Sex1,"01/01/2024",,,"Firstname cannot be null or empty"
AT111111,"",Lastname1,Sex1,"01/01/2024",,,Firstname cannot be null or empty"
AT111111,Firstname1,,Sex1,"01/01/2024",,,"Lastname cannot be null or empty"
AT111111,Firstname1,"",Sex1,"01/01/2024",,,"Lastname cannot be null or empty"
AT111111,Firstname1,Lastname1,,"01/01/2024",,,"Sex cannot be null or empty"
AT111111,Firstname1,Lastname1,"","01/01/2024",,,"Sex cannot be null or empty"
AT111111,Firstname1,Lastname1,Sex1,,,,"Date of Birth cannot be null or empty"
AT111111,Firstname1,Lastname1,Sex1,"",,,"Date of Birth cannot be null or empty"
